,Reputation,Views,UpVotes,DownVotes,Age,Score,ViewCount,AnswerCount,CommentCount,FavoriteCount
6677,44152,7357.0,,,55.0,,,,,
6678,44152,7357.0,,,55.0,,,,,
6679,44152,7357.0,,,55.0,,,,,
6680,44152,7357.0,,,55.0,,,,,
6681,44152,7357.0,,,55.0,,,,,
6682,44152,7357.0,,,55.0,,,,,
6683,44152,7357.0,,,55.0,,,,,
6684,44152,7357.0,,,55.0,,,,,
6685,44152,7357.0,,,55.0,,,,,
6686,44152,7357.0,,,55.0,,,,,
6687,44152,7357.0,,,55.0,,,,,
6688,44152,7357.0,,,55.0,,,,,
6689,44152,7357.0,,,55.0,,,,,
6690,44152,7357.0,,,55.0,,,,,
6691,44152,7357.0,,,55.0,,,,,
6692,44152,7357.0,,,55.0,,,,,
6693,44152,7357.0,,,55.0,,,,,
6694,44152,7357.0,,,55.0,17.0,,,,
6695,44152,7357.0,,,55.0,,,,,
6696,44152,7357.0,,,55.0,,,,,
6697,44152,7357.0,,,55.0,,,,,
6698,44152,7357.0,,,55.0,,,,,
6699,44152,7357.0,,,55.0,,,,,
6700,44152,7357.0,,,55.0,,,,,
6701,44152,7357.0,,,55.0,,,,,
6702,44152,7357.0,,,55.0,,,,,
6703,44152,7357.0,,,55.0,,,,,
6704,44152,7357.0,,,55.0,,,,12.0,
6705,44152,7357.0,,,55.0,,,,,
6706,44152,7357.0,,,55.0,,,,,
6707,44152,7357.0,,,55.0,,,,,
6708,44152,7357.0,,,55.0,18.0,,,,
6709,44152,7357.0,,,55.0,,,,,
6710,44152,7357.0,,,55.0,,,,,
6711,44152,7357.0,,,55.0,,,,,
6712,44152,7357.0,,,55.0,,,,,
6713,44152,7357.0,,,55.0,,,,,
6714,44152,7357.0,,,55.0,,,,,
6715,44152,7357.0,,,55.0,,,,,
6716,44152,7357.0,,,55.0,,,,,
6717,44152,7357.0,,,55.0,12.0,,,,
6718,44152,7357.0,,,55.0,,,,,
6719,44152,7357.0,,,55.0,,,,,
6720,44152,7357.0,,,55.0,,,,,
6721,44152,7357.0,,,55.0,,,,,
6722,44152,7357.0,,,55.0,,,,,
6723,44152,7357.0,,,55.0,,,,,
6724,44152,7357.0,,,55.0,,,,,
6725,44152,7357.0,,,55.0,,,,,
6726,44152,7357.0,,,55.0,,,,,
6727,44152,7357.0,,,55.0,,,,,
6728,44152,7357.0,,,55.0,,,,,
6729,44152,7357.0,,,55.0,,,,,
6730,44152,7357.0,,,55.0,,,,,
6731,44152,7357.0,,,55.0,,,,,
6732,44152,7357.0,,,55.0,,,,,
6733,44152,7357.0,,,55.0,,,,,
6734,44152,7357.0,,,55.0,,,,,
6735,44152,7357.0,,,55.0,,,,,
6736,44152,7357.0,,,55.0,,,,,
6737,44152,7357.0,,,55.0,,,,,
6738,44152,7357.0,,,55.0,106.0,,,,
6739,44152,7357.0,,,55.0,,,,,
6740,44152,7357.0,,,55.0,,,,,
6741,44152,7357.0,,,55.0,,,,,
6742,44152,7357.0,,,55.0,,,,,
6743,44152,7357.0,,,55.0,,,,,
6744,44152,7357.0,,,55.0,,,,,
6745,44152,7357.0,,,55.0,,,,,
6746,44152,7357.0,,,55.0,,,,,
6747,44152,7357.0,,,55.0,,,,,
6748,44152,7357.0,,,55.0,,,,9.0,
6749,44152,7357.0,,,55.0,,,,,
6750,44152,7357.0,,,55.0,,,,,
6751,44152,7357.0,,,55.0,,,,,
6752,44152,7357.0,,,55.0,,,,,
6753,44152,7357.0,,,55.0,,,,,
6754,44152,7357.0,,,55.0,14.0,,,,
6755,44152,7357.0,,,55.0,,,,,
6756,44152,7357.0,,,55.0,,,,,
6757,44152,7357.0,,,55.0,,,,,
6758,44152,7357.0,,,55.0,,,,,
6759,44152,7357.0,,,55.0,,,,,
6760,44152,7357.0,,,55.0,,,,,
6761,44152,7357.0,,,55.0,,,,,
6762,44152,7357.0,,,55.0,,,,,
6763,44152,7357.0,,,55.0,,,,,
6764,44152,7357.0,,,55.0,,,,,
6765,44152,7357.0,,,55.0,,,,,
6766,44152,7357.0,,,55.0,,,,,
6767,44152,7357.0,,,55.0,,,,,
6768,44152,7357.0,,,55.0,,,,,
6769,44152,7357.0,,,55.0,,,,,
6770,44152,7357.0,,,55.0,,,,,
6771,44152,7357.0,,,55.0,,,,,
6772,44152,7357.0,,,55.0,,,,,
6773,44152,7357.0,,,55.0,,,,,
6774,44152,7357.0,,,55.0,,,,,
6775,44152,7357.0,,,55.0,,,,,
6776,44152,7357.0,,,55.0,,,,,
6777,44152,7357.0,,,55.0,,,,,
6778,44152,7357.0,,,55.0,,,,,
6779,44152,7357.0,,,55.0,,,,,
6780,44152,7357.0,,,55.0,,,,,
6781,44152,7357.0,,,55.0,,,,,
6782,44152,7357.0,,,55.0,,,,,
6783,44152,7357.0,,,55.0,,,,,
6784,44152,7357.0,,,55.0,,,,,
6785,44152,7357.0,,,55.0,,,,,
6786,44152,7357.0,,,55.0,,,,,
6787,44152,7357.0,,,55.0,,,,,
6788,44152,7357.0,,,55.0,,,,,
6789,44152,7357.0,,,55.0,,,,,
6790,44152,7357.0,,,55.0,,,,,
6791,44152,7357.0,,,55.0,,,,,
